,Uncet
07/01/1929,5.302998279
08/01/1929,5.297268438
09/01/1929,5.288042849
10/01/1929,5.287267435
11/01/1929,5.282396263
12/01/1929,5.278100731
14/01/1929,5.26715345
15/01/1929,5.262173546
16/01/1929,5.250990214
17/01/1929,5.245329104
18/01/1929,5.239696885
19/01/1929,5.235012699
21/01/1929,5.227703668
22/01/1929,5.230664095
23/01/1929,5.232758086
24/01/1929,5.228451662
25/01/1929,5.230273057
26/01/1929,5.220963713
28/01/1929,5.214836009
29/01/1929,5.212583016
30/01/1929,5.211951246
31/01/1929,5.21323478
01/02/1929,5.210430003
02/02/1929,5.210410547
04/02/1929,5.202344123
05/02/1929,5.198544973
06/02/1929,5.188713957
07/02/1929,5.177358549
08/02/1929,5.17386275
11/02/1929,5.172629934
13/02/1929,5.174600296
14/02/1929,5.177183801
15/02/1929,5.179064745
16/02/1929,5.176991836
18/02/1929,5.178781652
19/02/1929,5.175783211
20/02/1929,5.169685416
21/02/1929,5.166700871
25/02/1929,5.165403212
26/02/1929,5.158751804
27/02/1929,5.154707483
28/02/1929,5.164815038
01/03/1929,5.167320409
02/03/1929,5.174513788
04/03/1929,5.179598367
05/03/1929,5.182428249
06/03/1929,5.18581445
07/03/1929,5.188698996
08/03/1929,5.1894054
09/03/1929,5.189628205
11/03/1929,5.190678081
12/03/1929,5.188220199
13/03/1929,5.188646362
14/03/1929,5.185359997
15/03/1929,5.187448979
16/03/1929,5.186092325
18/03/1929,5.183657108
19/03/1929,5.175449185
20/03/1929,5.167257759
21/03/1929,5.166001674
22/03/1929,5.16437456
23/03/1929,5.166032446
25/03/1929,5.156781271
26/03/1929,5.145980189
27/03/1929,5.149118438
28/03/1929,5.156667706
01/04/1929,5.16135274
02/04/1929,5.161756901
03/04/1929,5.1709903
04/04/1929,5.175471986
05/04/1929,5.1788139
06/04/1929,5.176082381
08/04/1929,5.174570104
09/04/1929,5.168547479
10/04/1929,5.163606065
11/04/1929,5.160921645
12/04/1929,5.160948219
13/04/1929,5.155015952
15/04/1929,5.150731898
16/04/1929,5.149472704
17/04/1929,5.144648414
18/04/1929,5.143139699
19/04/1929,5.141516421
20/04/1929,5.143625327
22/04/1929,5.145870732
23/04/1929,5.145118735
24/04/1929,5.146628781
25/04/1929,5.141452826
26/04/1929,5.13924224
27/04/1929,5.135528357
29/04/1929,5.139339313
30/04/1929,5.141074092
01/05/1929,5.148842337
02/05/1929,5.151720877
03/05/1929,5.159215321
04/05/1929,5.165734075
06/05/1929,5.167530754
07/05/1929,5.177243193
08/05/1929,5.181652926
09/05/1929,5.189705413
10/05/1929,5.18760334
11/05/1929,5.186027484
13/05/1929,5.183168225
14/05/1929,5.179476551
15/05/1929,5.179237869
16/05/1929,5.183056378
17/05/1929,5.178309909
18/05/1929,5.176909837
20/05/1929,5.173307358
21/05/1929,5.179491663
22/05/1929,5.185035803
23/05/1929,5.195203494
24/05/1929,5.196644368
25/05/1929,5.19931923
27/05/1929,5.196463608
28/05/1929,5.191145805
29/05/1929,5.198424545
31/05/1929,5.202681992
01/06/1929,5.204901853
03/06/1929,5.203580561
04/06/1929,5.212353726
05/06/1929,5.21812935
06/06/1929,5.220364102
07/06/1929,5.229920662
08/06/1929,5.233319796
10/06/1929,5.235091888
11/06/1929,5.236679633
12/06/1929,5.238068588
13/06/1929,5.233601074
14/06/1929,5.230303952
15/06/1929,5.230763007
17/06/1929,5.226712382
18/06/1929,5.225789215
19/06/1929,5.224108994
20/06/1929,5.220336528
21/06/1929,5.221037177
22/06/1929,5.219432289
24/06/1929,5.222378388
25/06/1929,5.224067939
26/06/1929,5.225607604
27/06/1929,5.226831312
28/06/1929,5.229778277
29/06/1929,5.237583788
01/07/1929,5.241253992
02/07/1929,5.243930544
03/07/1929,5.242185594
05/07/1929,5.243697936
06/07/1929,5.246549336
08/07/1929,5.254349223
09/07/1929,5.260759731
10/07/1929,5.269129823
11/07/1929,5.282387473
12/07/1929,5.294249007
13/07/1929,5.304764741
15/07/1929,5.313207177
16/07/1929,5.320876901
17/07/1929,5.335163478
18/07/1929,5.348323133
19/07/1929,5.357385561
20/07/1929,5.366761531
22/07/1929,5.377103741
23/07/1929,5.387455092
24/07/1929,5.401861158
25/07/1929,5.416319265
26/07/1929,5.435757375
27/07/1929,5.452877687
29/07/1929,5.463992352
30/07/1929,5.47920058
31/07/1929,5.489651421
01/08/1929,5.504946545
02/08/1929,5.525015831
03/08/1929,5.541946741
05/08/1929,5.553133191
06/08/1929,5.578430942
07/08/1929,5.610230856
08/08/1929,5.621736108
09/08/1929,5.638034374
10/08/1929,5.656778898
12/08/1929,5.673203603
13/08/1929,5.699123264
14/08/1929,5.728751421
15/08/1929,5.752727374
16/08/1929,5.767571537
17/08/1929,5.786408685
19/08/1929,5.806465967
20/08/1929,5.828813843
21/08/1929,5.851031169
22/08/1929,5.878916306
23/08/1929,5.900582223
24/08/1929,5.92736434
26/08/1929,5.950842858
27/08/1929,5.976122489
28/08/1929,6.001222963
29/08/1929,6.028985246
30/08/1929,6.059545729
03/09/1929,6.091730347
04/09/1929,6.127757848
05/09/1929,6.15180379
06/09/1929,6.173878229
07/09/1929,6.202410432
09/09/1929,6.23523541
10/09/1929,6.263696874
11/09/1929,6.300243966
12/09/1929,6.338414781
13/09/1929,6.377737172
14/09/1929,6.42059939
16/09/1929,6.464382371
17/09/1929,6.508836555
18/09/1929,6.54583506
19/09/1929,6.587620037
20/09/1929,6.629377233
21/09/1929,6.666774403
23/09/1929,6.70888637
24/09/1929,6.754751027
25/09/1929,6.804843227
26/09/1929,6.848857388
27/09/1929,6.897647488
28/09/1929,6.954400698
30/09/1929,7.013591613
01/10/1929,7.072421414
02/10/1929,7.130986048
03/10/1929,7.181621958
04/10/1929,7.24293266
05/10/1929,7.295274352
07/10/1929,7.349737282
08/10/1929,7.402245495
09/10/1929,7.460296751
10/10/1929,7.514456125
11/10/1929,7.570179949
14/10/1929,7.625900387
15/10/1929,7.67382384
16/10/1929,7.722565844
17/10/1929,7.780924906
18/10/1929,7.829888342
19/10/1929,7.885304388
21/10/1929,7.941818037
22/10/1929,7.978796238
23/10/1929,8.005782669
24/10/1929,8.039266508
25/10/1929,8.077895228
26/10/1929,8.10511084
28/10/1929,8.110777501
29/10/1929,8.123574516
30/10/1929,8.14937049
31/10/1929,8.19368673
04/11/1929,8.241718002
06/11/1929,8.273776011
07/11/1929,8.296786126
08/11/1929,8.309018825
11/11/1929,8.321740756
12/11/1929,8.312518203
13/11/1929,8.316655654
14/11/1929,8.312143539
15/11/1929,8.310524445
18/11/1929,8.308768437
19/11/1929,8.308797579
20/11/1929,8.288202203
21/11/1929,8.264274976
22/11/1929,8.244468866
25/11/1929,8.229098497
26/11/1929,8.210588145
27/11/1929,8.190407438
02/12/1929,8.158095217
03/12/1929,8.119332255
04/12/1929,8.07407639
05/12/1929,8.032243596
06/12/1929,7.98774155
07/12/1929,7.952169398
09/12/1929,7.913232535
10/12/1929,7.875679953
11/12/1929,7.82121858
12/12/1929,7.781486598
13/12/1929,7.734926543
14/12/1929,7.690998184
16/12/1929,7.640380021
17/12/1929,7.599104288
18/12/1929,7.552250744
19/12/1929,7.513293212
20/12/1929,7.469751388
21/12/1929,7.435249361
23/12/1929,7.386812705
24/12/1929,7.338201933
26/12/1929,7.290102868
27/12/1929,7.238920965
28/12/1929,7.190678115
30/12/1929,7.140075238
31/12/1929,7.090388975
02/01/1930,7.060337269
03/01/1930,7.02634764
04/01/1930,7.009420765
06/01/1930,6.985024062
07/01/1930,6.96253166
08/01/1930,6.937956517
09/01/1930,6.896394096
10/01/1930,6.867116832
11/01/1930,6.831919839
13/01/1930,6.805693048
14/01/1930,6.777660159
15/01/1930,6.745297195
16/01/1930,6.704244436
17/01/1930,6.673509732
18/01/1930,6.639296667
20/01/1930,6.599589247
21/01/1930,6.571174295
22/01/1930,6.530205115
23/01/1930,6.495257963
24/01/1930,6.469149892
25/01/1930,6.447948214
27/01/1930,6.422375819
28/01/1930,6.390679616
29/01/1930,6.372306992
30/01/1930,6.357351838
31/01/1930,6.33748881
01/02/1930,6.31768851
03/02/1930,6.298041129
04/02/1930,6.275801449
05/02/1930,6.254478659
06/02/1930,6.23310333
07/02/1930,6.213484191
08/02/1930,6.195094252
10/02/1930,6.181473131
11/02/1930,6.1583639
13/02/1930,6.144911738
14/02/1930,6.134300799
15/02/1930,6.116607163
17/02/1930,6.106598001
18/02/1930,6.08560492
19/02/1930,6.08287679
20/02/1930,6.072753679
21/02/1930,6.059775825
24/02/1930,6.047434765
25/02/1930,6.039600272
26/02/1930,6.024803674
27/02/1930,6.019484464
28/02/1930,6.016940913
01/03/1930,6.013741985
03/03/1930,6.005520419
04/03/1930,6.002880385
05/03/1930,6.004967232
06/03/1930,6.007815968
07/03/1930,6.002029525
08/03/1930,6.002429419
10/03/1930,6.00253484
11/03/1930,5.995138212
12/03/1930,6.000381865
13/03/1930,6.000775409
14/03/1930,6.007883024
15/03/1930,6.013371752
17/03/1930,6.015101899
18/03/1930,6.022090143
19/03/1930,6.030722526
20/03/1930,6.037566974
21/03/1930,6.048767044
22/03/1930,6.059379848
24/03/1930,6.061894495
25/03/1930,6.066186412
26/03/1930,6.079843138
27/03/1930,6.089185759
28/03/1930,6.095357597
29/03/1930,6.098323517
31/03/1930,6.100600067
01/04/1930,6.112644443
02/04/1930,6.114194105
03/04/1930,6.11777441
04/04/1930,6.118179371
05/04/1930,6.12516008
07/04/1930,6.13431128
08/04/1930,6.144374365
09/04/1930,6.155564856
10/04/1930,6.164548842
11/04/1930,6.173300352
12/04/1930,6.181467766
14/04/1930,6.191824472
15/04/1930,6.204559966
16/04/1930,6.209911641
17/04/1930,6.230829054
21/04/1930,6.242054044
22/04/1930,6.255160748
23/04/1930,6.263657743
24/04/1930,6.266713537
25/04/1930,6.277088372
26/04/1930,6.289483778
28/04/1930,6.301320387
29/04/1930,6.312483108
30/04/1930,6.324316445
01/05/1930,6.336277052
02/05/1930,6.347921609
03/05/1930,6.361342048
05/05/1930,6.375168217
06/05/1930,6.391279733
07/05/1930,6.419098026
08/05/1930,6.437493423
09/05/1930,6.46238943
10/05/1930,6.482327026
12/05/1930,6.499923659
13/05/1930,6.518051322
14/05/1930,6.522927628
15/05/1930,6.549940028
16/05/1930,6.55802872
17/05/1930,6.573741036
19/05/1930,6.584912718
20/05/1930,6.596092107
21/05/1930,6.602693696
22/05/1930,6.618363421
23/05/1930,6.629754432
24/05/1930,6.648375521
26/05/1930,6.662452616
27/05/1930,6.681900249
28/05/1930,6.695174658
29/05/1930,6.71205619
02/06/1930,6.729137416
03/06/1930,6.735504732
04/06/1930,6.748748054
05/06/1930,6.760117539
06/06/1930,6.770499623
07/06/1930,6.781400183
09/06/1930,6.789425998
10/06/1930,6.79247871
11/06/1930,6.79971195
12/06/1930,6.808089405
13/06/1930,6.818986592
14/06/1930,6.824887871
16/06/1930,6.826681423
17/06/1930,6.831336857
18/06/1930,6.837989358
19/06/1930,6.836287819
20/06/1930,6.839654739
21/06/1930,6.835692242
23/06/1930,6.841865156
24/06/1930,6.845541614
25/06/1930,6.847730061
26/06/1930,6.837314464
27/06/1930,6.832982809
28/06/1930,6.823351929
30/06/1930,6.807026905
01/07/1930,6.818739548
02/07/1930,6.827602372
03/07/1930,6.838515945
07/07/1930,6.846029266
08/07/1930,6.850501353
09/07/1930,6.860750582
10/07/1930,6.864730849
11/07/1930,6.860356607
12/07/1930,6.865830671
14/07/1930,6.855891764
15/07/1930,6.854298386
16/07/1930,6.855069253
17/07/1930,6.848153075
18/07/1930,6.845042911
19/07/1930,6.848533797
21/07/1930,6.840868817
22/07/1930,6.837618708
23/07/1930,6.830362693
24/07/1930,6.831956191
25/07/1930,6.818688171
26/07/1930,6.809135413
28/07/1930,6.795390849
29/07/1930,6.789000571
30/07/1930,6.784614957
31/07/1930,6.773842389
01/08/1930,6.771235085
02/08/1930,6.759190251
04/08/1930,6.75008438
05/08/1930,6.741704137
06/08/1930,6.719270916
07/08/1930,6.701158265
08/08/1930,6.689847569
09/08/1930,6.690274221
11/08/1930,6.687303528
12/08/1930,6.675948426
13/08/1930,6.683239926
14/08/1930,6.68819178
15/08/1930,6.685150226
16/08/1930,6.688387571
18/08/1930,6.696338904
19/08/1930,6.701184187
20/08/1930,6.706503116
21/08/1930,6.710543018
